response_id,prompt_id,bertscore_divergence
1,5,0.1241982
2,7,0.14888102
3,4,0.15763807
4,2,0.14178985
5,9,0.15056562
6,1,0.1516422
7,3,0.12639767
8,8,0.1815198
9,6,0.17722958
10,11,0.14577883
11,12,0.15202463
12,10,0.14266235
13,15,0.1436665
14,13,0.13520306
15,14,0.122335374
16,16,0.13231522
17,19,0.13104385
18,20,0.13031137
19,17,0.15869653
20,18,0.12084311
21,23,0.15862507
22,22,0.15708649
23,21,0.15011019
24,26,0.14207989
25,24,0.14936024
26,27,0.1247133
27,28,0.17399514
28,30,0.12508571
29,33,0.09869999
30,29,0.17949617
31,32,0.1478951
32,35,0.13296992
33,31,0.12610579
34,25,0.14835417
35,36,0.12465185
36,40,0.14421737
109,113,0.13919199
37,38,0.13865387
38,37,0.123633385
39,34,0.17369515
40,42,0.13348812
41,45,0.15875167
42,41,0.12743783
43,43,0.14978528
44,47,0.1622181
45,39,0.15183002
46,48,0.1646471
47,49,0.12928832
48,44,0.1448201
49,51,0.13540614
50,52,0.113063216
51,54,0.13787746
52,50,0.18271095
53,46,0.14882183
54,55,0.14802814
55,58,0.128986
56,56,0.1509102
57,57,0.15251845
58,62,0.13265759
59,59,0.1465869
60,61,0.1195299
61,60,0.18298215
62,53,0.14563978
63,66,0.11260551
64,63,0.16065401
65,65,0.14025998
66,64,0.14209968
67,69,0.17042631
68,67,0.1514306
69,71,0.16026998
70,72,0.1483776
71,68,0.120661676
72,70,0.18038559
73,77,0.12848264
74,76,0.13527423
75,74,0.12633085
76,73,0.14761508
77,75,0.14825928
78,79,0.13072169
79,80,0.12607855
80,78,0.119951606
81,84,0.10857034
82,83,0.12777776
83,82,0.16241366
84,85,0.13832456
85,81,0.12342954
86,89,0.12598896
87,91,0.11541283
88,86,0.1528309
89,90,0.14454663
90,87,0.14419776
91,95,0.15433902
92,88,0.16203326
93,93,0.1397419
94,92,0.16156518
95,94,0.1446026
96,98,0.0994457
97,96,0.14767843
98,101,0.1380269
99,99,0.12736434
100,100,0.16604435
101,97,0.15120077
102,103,0.15209407
103,102,0.1432696
104,105,0.14659917
105,104,0.13398993
106,109,0.13170594
107,111,0.1516121
108,108,0.13483828
110,107,0.14074403
111,106,0.14694822
112,110,0.16942865
113,112,0.14658314
114,115,0.12512118
115,116,0.1460036
116,120,0.14358497
117,117,0.124385715
118,119,0.12224412
119,114,0.1668151
120,118,0.15071952
121,122,0.14204806
122,121,0.15037382
123,126,0.12817591
124,124,0.13632882
125,123,0.11867589
126,125,0.11911982
127,127,0.16961658
128,128,0.16479367
129,129,0.1279459
130,131,0.15617293
131,133,0.14104462
132,130,0.15822321
133,132,0.107601106
134,135,0.109885395
135,134,0.12935048
136,136,0.13947397
137,138,0.15574753
138,140,0.13550204
139,137,0.109484315
140,139,0.1422953
141,141,0.14437854
142,143,0.12719333
143,144,0.14778608
144,145,0.12463415
145,142,0.13961005
146,146,0.1467855
147,150,0.11380249
148,147,0.13160324
149,149,0.1471628
150,152,0.103628576
151,148,0.13750368
152,156,0.13744247
153,153,0.14766526
154,151,0.14337277
155,159,0.13842154
156,154,0.1555925
157,155,0.15357262
158,158,0.14427447
159,157,0.14439291
160,161,0.12296581
161,165,0.14249355
162,160,0.15762603
163,162,0.14884168
164,163,0.13095874
165,169,0.14928609
166,168,0.15164024
167,166,0.12877887
168,164,0.13777089
169,167,0.12894207
170,172,0.17247498
171,170,0.116762936
172,174,0.1247834
173,171,0.18088919
174,173,0.17647201
175,177,0.14991772
176,176,0.13618404
177,175,0.14026803
178,179,0.14946312
179,181,0.1586951
180,178,0.120799065
181,180,0.15173739
182,184,0.11624813
183,182,0.10627329
184,183,0.11524373
185,189,0.07921833
186,186,0.16043395
187,185,0.13696831
188,192,0.12023389
189,187,0.15238202
190,190,0.17779326
191,188,0.15670389
192,191,0.15645832
193,195,0.15332538
194,196,0.14451033
195,197,0.14087588
196,198,0.07379764
197,194,0.15862358
198,193,0.13973463
199,202,0.13400006
200,200,0.15654784
201,199,0.1357181
202,201,0.108376086
203,203,0.14160633
204,206,0.13138461
205,204,0.13951242
206,205,0.1433155
207,210,0.1666444
208,207,0.18843609
209,212,0.16469401
210,213,0.13187152
211,208,0.13406295
212,214,0.14243251
213,209,0.16592318
214,211,0.15839505
215,216,0.12699461
216,218,0.13064033
217,217,0.15633595
218,220,0.14562243
219,215,0.14505643
220,219,0.13264692
221,224,0.1276409
222,223,0.1371513
223,221,0.15654129
224,222,0.17157614
225,228,0.15596545
226,227,0.14033115
227,226,0.15046364
228,225,0.1576103
229,229,0.16281599
230,232,0.13712353
231,231,0.12777138
232,230,0.15272313
233,235,0.101460874
234,233,0.16700095
235,236,0.15241754
236,240,0.17379099
237,234,0.14052135
238,237,0.15642202
239,242,0.096009016
240,239,0.15207136
241,241,0.16475147
242,238,0.17927974
243,244,0.18212396
244,243,0.19200373
245,249,0.11887562
246,245,0.15142709
247,247,0.12548423
248,246,0.1617527
249,250,0.1384548
250,248,0.13946551
251,253,0.14242631
252,255,0.16859215
253,252,0.1318397
254,254,0.12856615
255,251,0.1286397
256,256,0.1285153
257,257,0.126558
258,258,0.13163453
259,260,0.16639566
260,262,0.13225883
261,259,0.093527436
262,261,0.16546535
263,265,0.1578995
264,264,0.15160519
265,263,0.11918634
266,266,0.14243925
267,267,0.15539742
268,270,0.13287526
269,272,0.15847337
270,271,0.13003367
271,268,0.17305815
272,269,0.14857411
273,275,0.13417906
274,278,0.1664319
275,274,0.17961144
276,276,0.13122863
277,273,0.1405555
278,277,0.1524685
279,279,0.143211
280,280,0.12669212
281,281,0.15895301
282,283,0.12821627
283,285,0.1255303
284,284,0.12430239
285,288,0.13292551
286,289,0.12806475
287,287,0.14773732
288,286,0.14529967
289,282,0.14049017
290,291,0.13004822
291,290,0.14395612
292,293,0.12756455
293,292,0.13315248
294,298,0.1197806
331,334,0.12891108
295,296,0.15890735
296,294,0.12187916
297,297,0.16551626
298,295,0.15131813
299,301,0.13185543
300,302,0.19099253
301,300,0.12813139
302,305,0.13904452
303,304,0.10670203
304,303,0.16933626
305,309,0.16461462
306,310,0.15406662
307,306,0.15336806
308,299,0.15553302
309,307,0.1459791
310,314,0.16428417
311,311,0.13272655
312,308,0.1403861
313,313,0.13343167
314,312,0.1136511
315,319,0.1369834
316,316,0.11797035
317,320,0.14224291
318,315,0.1380868
319,317,0.125283
320,318,0.13457674
321,321,0.14246452
322,323,0.10981488
323,322,0.14798671
324,326,0.16810465
325,328,0.1859054
326,324,0.12700516
327,325,0.1497426
328,329,0.19558388
329,327,0.14740938
330,330,0.13766414
332,331,0.14744365
333,332,0.1446433
334,333,0.15869886
335,335,0.14516294
336,338,0.17679304
337,336,0.12645721
338,337,0.14651698
339,339,0.13950974
340,343,0.12232876
341,341,0.10966176
342,346,0.14367223
343,344,0.13685733
344,348,0.12556791
345,345,0.14136839
346,340,0.14658046
347,347,0.1378926
348,342,0.13441306
349,349,0.12970018
350,350,0.17894983
351,351,0.122611105
352,352,0.13333017
353,353,0.13420492
354,355,0.15251803
355,357,0.14506078
356,354,0.15150416
357,356,0.10836303
358,358,0.1753279
359,359,0.11845034
360,362,0.13387746
361,361,0.14105415
362,360,0.13757855
363,363,0.15993822
364,364,0.14996159
365,365,0.16549546
366,366,0.15653026
367,367,0.109141946
368,3,0.1262253
369,4,0.16552806
370,5,0.1303758
371,7,0.1557591
372,1,0.12824714
373,6,0.16371262
374,2,0.14155936
375,10,0.15106887
376,9,0.15013331
377,8,0.17305636
378,14,0.12355888
379,15,0.1279428
380,13,0.1462608
381,12,0.15898609
382,11,0.15811831
383,16,0.12652254
384,18,0.13212293
385,20,0.121714175
386,17,0.16254425
387,19,0.13422906
388,21,0.14879525
389,22,0.15869808
390,26,0.14608413
391,24,0.15972054
392,25,0.1535834
393,27,0.14387548
394,28,0.17450947
395,29,0.18302685
396,23,0.16315407
397,30,0.13715559
398,31,0.10775936
399,32,0.14748377
400,35,0.13500345
401,34,0.17552465
402,33,0.10245627
403,37,0.14978004
404,38,0.13720798
405,40,0.14532405
406,39,0.14307201
447,80,0.1432063
407,36,0.14279246
408,41,0.14025658
409,42,0.13055366
410,43,0.15200949
411,44,0.13901997
412,47,0.15913051
413,46,0.14281183
414,48,0.16019845
415,49,0.12687755
416,50,0.17817378
417,51,0.15043807
418,53,0.13478869
419,54,0.13921672
420,52,0.11053741
421,55,0.14896399
422,56,0.12392914
423,58,0.13981807
424,57,0.15586644
425,61,0.12419242
426,59,0.14746726
427,60,0.18566477
